add_date,name,points,slot,bench,rowid,abbrev,teamId,location,nickname,fullname,division
2020-11-29,Tyler Bass,8,17,0,9,PG,10,Pigskin on,the Gridiron,Pigskin on  the Gridiron,Grits
2020-12-04,Seahawks D/ST,12,16,0,9,PG,10,Pigskin on,the Gridiron,Pigskin on  the Gridiron,Grits
2020-09-08,Kenyan Drake,15.5,2,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-09-08,Mike Evans,7.1000000000000005,23,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-09-08,Tyler Lockett,7.7,4,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-09-08,Cooper Kupp,11.8,4,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-09-08,Evan Engram,2.8,20,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-09-08,Ronald Jones II,14.9,2,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-09-08,Josh Allen,18.32,0,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-10-22,Chase Edmonds,8.4,20,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-11-11,Jakobi Meyers,6.7,20,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-11-18,Browns D/ST,2,16,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-11-18,Mike Gesicki,21,6,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-11-29,Jordan Wilkins,1.2000000000000002,20,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-12-07,Deebo Samuel,0.9,20,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-12-07,J.D. McKissic,9.600000000000001,20,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-12-07,Robbie Gould,1,17,0,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
2020-12-13,Chase Claypool,3,20,1,10,JAH,12,Jumpin',Jaheims,Jumpin' Jaheims,Grits
